Año,Asistencia Reportada,Asistencia Estimada,Asistencia Real
1989,null,null,null
1990,null,null,null
1991,null,null,null
1992*,1147637,null,98176
1993*,1163419,null,null
1994,null,null,null
1995,null,null,null
1996,null,null,null
1997,null,null,null
1998,null,null,null
1999,null,null,null
2000,null,null,null
2001*,1100000,null,109938
2002,null,null,null
2003,null,null,null
2004,null,null,null
2005,null,null,null
2006,null,null,null
2007,null,null,null
2008,null,null,null
2009,null,null,null
2010,null,null,null
2011*,1100000,null,109938
2012*,1147637,null,98176
2013*,1163419,null,null
2014,null,null,72794
2015,null,null,107624
2016,null,null,123144
2017,null,null,170000
2018,null,null,null
2019,null,null,188235
2020,null,null,74173
2021,null,null,null
2022,null,null,170870
2023,null,null,202540
2024,null,null,174854
